category_slug;name;slug;description;image;price;is_active
laptops;Lenovo Legion 5;lenovo-legion-5;Pantalla FHD de 15.6 pulgadas, AMD Ryzen 7 5800H, 16 GB de RAM, 512 GB de almacenamiento, NVIDIA GeForce RTX 3050Ti;ini-legion5.jpg;1099.99;True
laptops;Dell Inspiron 15 5515;dell-inspiron-5515;Pantalla Tactil Full HD (1920 x 1080) de 15.6 pulgadas, AMD Ryzen 5 5500U, 8 GB DDR4 RAM, 256 GB SSD, USB-C, Wi-Fi 6, Bluetooth 4.1, AMD Radeon Graphics, Windows 11;ini-dell-inspiron-5515.jpg;665;True
laptops;Alienware X17 R2 VR Ready Gaming Laptop;alienware-x17-r2;Pantalla FHD de 17.3 pulgadas y 360Hz 1ms, Core i7-12700H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3070Ti 8GB GDDR6, Bluetooth, Wi-Fi 6, USB-C, Windows 11;ini-alienware-x17-r2.jpg;2673.99;True
zapatos-hombre;Adidas Kaptir Super;kaptir-super;Adidas Kaptir Super, zapatos de correr para hombre, negro, rojo;ini-kaptir-super.jpg;69.96;True
zapatos-hombre;Tommy Hilfiger Ramus;tommy-ramus;Tommy Hilfiger Ramus, zapatos deportivos para hombre, blanco;ini-tommy-ramus.jpg;39.99;True
zapatos-hombre;Tommy Hilfiger Anello;tommy-anello;Tommy Hilfiger Anello, zapatos para hombre, negro, blanco, azul;ini-tommy-anello.jpg;55;True
productos-gamer;Teclado Logitech G915;logitech-g915;Teclado Gaming Logitech G915: Bluetooth/USB;ini-logitech-g915.jpg;217;True
productos-gamer;Monitor ASUS TUF Gaming VG289Q1A;asus-tuf-vg289q1a;Monitor HDR de 28 pulgadas, resolucion 4K UHD (3840 x 2160), panel IPS, Adaptive-Sync/ FreeSync, Eye Care, DisplayPort, HDMI, DCI-P3, HDR 10, Shadow Boost, color negro;ini-asus-tuf-vg289q1a.jpg;263.95;True
productos-gamer;Auriculares Logitech G PRO X;logitech-g-pro-x;Auriculares inalambricos Lightspeed para juegos con tecnologia de filtro de microfono VO!CE azul, controladores PRO-G de 1.969 in y auriculares DTS: sonido envolvente X 2.0;ini-logitech-g-pro-x.jpg;196.69;True
deporte;Caminadora Proform Sport 4.0;caminadora-proform-sport;Caminadora Proform Sport 4.0/PFTL34616. Velocidad de hasta 16 km/h. 8 programas. Inclinacion de hasta 10%. Amortiguacion. Funcion bluetooth para conectar su celular o tablet. Monitor que indica ritmo cardiaco, calorias, velocidad, tiempo, distancia. Usuarios de hasta 300 lb;ini-caminadora-proform-sport.jpg;1560;True
deporte;Bicicleta Estatica LIFE GEAR 20065;estatica-life-gear-20065;Bicicleta Estatica LIFE GEAR 20065. Sistema magnetico con 8 niveles de resistencia. Monitor que indica tiempo, distancia, velocidad, calorias, pulso. Usuarios de hasta 242lb;ini-estatica-life-gear-20065.jpg;299;True
deporte;Banco Pesas Weider 15963 PRO265;banco-pesas-weider-15963-pro265;Banco Pesas Weider 15963 PRO265. Multiples posiciones: plano, elevado fijo, predicador, desarrollador de piernas. Incluye: 2 pesas de vinil de 40 lb con barra;ini-banco-pesas-weider-15963-pro265.jpg;359;True
automotriz;Hidrolavadora Electrolux EWS31;electrolux-ews231;usela para lavar su auto, pisos, paredes, fachadas y obtenga una limpieza profunda de forma rapida y eficiente, ahorrando agua. 1800 PSI, 1450 watts;ini-electrolux-ews231.jpg;151;True
automotriz;Gata Hidraulica Tipo Botella 4T INGCO;gata-hidraulica-4t-ingco;Capacidad 4 toneladas. Valvula de seguridad. Altura 194 mm hasta 372 mm;ini-gata-hidraulica-4t-ingco.jpg;32.5;True
automotriz;Portabicicletas GET MOVING;portabicicletas-get-moving;Portabicicletas GET MOVING. Capacidad para 3 bicicletas. Fabricado en acero inoxidable;ini-portabicicletas-get-moving.jpg;67.9;True
televisores;"Smart Tv Android HYUNDAI HYLED5806A LED 58"" 4K";hyundai-hyled5806a;Descargue aplicaciones desde Google Play, transfiera contenido desde la pantalla de su celular o enlace dispositivos a traves de Bluetooth y disfrute de una visualizacion multimedia unica;ini-hyundai-hyled5806a.jpg;695;True
televisores;"Smart Tv LG 50NANO75SPA LED 50"" 4K";lg-50nano75spa;Disfrute de una experiencia audiovisual superior gracias a este LED NanoCell para potenciar al maximo los colores y aportar claridad real a cada imagen;ini-lg-50nano75spa.jpg;961.9;True
televisores;"Smart Tv ANDROID RIVIERA AND65HIK6150P LED 65"" 4K";riviera-and65hik6150p;Controle su televisor con comandos de voz, descargue aplicaciones desde Google Play, transfiera contenido desde la pantalla de su celular o enlace dispositivos a traves de Bluetooth y disfrute de una visualizacion multimedia unica;ini-riviera-and65hik6150p.jpg;919.9;True
